NO, PROVINSI, KABUPATEN, TIPE RS, NAMA RS, STATUS
254, Maluku, Kab.Maluku Tengah, Rumah Sakit Umum, RSU Tulehu, Perdana
255, Maluku, Kab.Maluku Tengah, Rumah Sakit Umum, RSU Masohi, Perdana
256, Maluku, Kab. Maluku Tenggara Barat, Rumah Sakit Umum, RSU Karel Sadsuitubun, Dasar
257, Maluku Utara, Kab. Halmahera Barat, Rumah Sakit Umum Daerah, RSUD Tobelo, Perdana
258, Maluku Utara, Halmahera Tengah, Rumah Sakit Umum, RSU Kota Tidore Kepulauan, Perdana
259, Banten, Kota Tangerang, Rumah Sakit Umum, RS Kusta Dr. Sitanala, Paripurna
260, Banten, Kab. Tangerang, Rumah Sakit Umum, RSU Tangerang, Paripurna
261, Banten, Kab. Tangerang, Rumah Sakit Umum Daerah, RSUD Balaraja, Perdana
262, Banten, Kota Serang, Rumah Sakit Umum Daerah, RSUD Banten, Paripurna
263, Banten, Kab. Serang, Rumah Sakit Umum Daerah, RSUD Dr. Dradjat Prawiranegara, Utama
264, Bangka Belitung, Kota Pangkal Pinang, Rumah Sakit Umum Daerah, RSUD Depati Hamzah, Madya
265, Bangka Belitung, Kab. Bangka Barat, Rumah Sakit Umum Daerah, RSUD Sejiran Setason, Perdana
266, Bangka Belitung, Kab. Bangka, Rumah Sakit Umum Daerah, RSUD Dr. (H.C.) Ir. SOEKARNO, Perdana
267, Bangka Belitung, Kab. Bangka Tengah, Rumah Sakit Umum Daerah, RSUD Kab.Bangka Tengah, Perdana
268, Bangka Belitung, Kab. Belitung, Rumah Sakit Umum Daerah, RSUD dr. H. Marsidi Judono, Perdana
269, Gorontalo, Kab. Pohuwato, Rumah Sakit Umum Daerah, RSUD Bumi Panua, Perdana
270, Kepulauan Riau, Kota Batam, Rumah Sakit Umum Daerah, RSUD Embung Fatimah, Paripurna
271, Kepulauan Riau, Kab. Bintan, Rumah Sakit Umum Daerah, RSUD Tanjung Uban, Paripurna
272, Papua Barat, Kab. Sorong Selatan, Rumah Sakit Umum, RSU SCHOLOO Keyen, Perdana
273, Papua Barat, Kab. Teluk Bintuni, Rumah Sakit Umum, RSU Bintuni, Perdana
274, Sulawesi Barat, Kab. Mamuju, Rumah Sakit Umum Daerah, RSUD Provinsi Sulawesi Barat, Perdana
